Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?kodekelompok=581,2,0,8.497445000102744,10.400331000710139,8.497445000102744,12.303217001317535,96.0,0.0170469774978303,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/?kodekelompok=584,1,0,9.877115997369401,9.877115997369401,9.877115997369401,9.877115997369401,149.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=585,1,0,8.095755001704674,8.095755001704674,8.095755001704674,8.095755001704674,42.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=587,1,0,13.25495799392229,13.25495799392229,13.25495799392229,13.25495799392229,257.0,0.00852348874891515,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/?kodekelompok=589,1,0,133.24088099761866,133.24088099761866,133.24088099761866,133.24088099761866,42.0,0.00852348874891515,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/?kodekelompok=590,1,0,7.17596200411208,7.17596200411208,7.17596200411208,7.17596200411208,42.0,0.00852348874891515,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=591,3,0,7,23.880757330819808,5.294187001709361,59.269647994369734,114.0,0.02557046624674545,0.0,7,7,59,59,59,59,59,59,59,59,59
GET,/?kodekelompok=593,3,0,10,23.822931335113633,8.873058002791367,52.20813999767415,42.0,0.02557046624674545,0.0,10,10,52,52,52,52,52,52,52,52,52
GET,/?kodekelompok=596,2,0,9,27.402536001318367,8.804454002529383,46.00061800010735,42.0,0.0170469774978303,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/?kodekelompok=597,1,0,9.571943002811167,9.571943002811167,9.571943002811167,9.571943002811167,42.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=598,1,0,6.3162970036501065,6.3162970036501065,6.3162970036501065,6.3162970036501065,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=599,1,0,34.93842500029132,34.93842500029132,34.93842500029132,34.93842500029132,42.0,0.00852348874891515,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/?kodekelompok=6,1,0,35.498835997714195,35.498835997714195,35.498835997714195,35.498835997714195,146.0,0.00852348874891515,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/?kodekelompok=60,2,0,18.214897994766943,26.55647349820356,18.214897994766943,34.898049001640175,254.0,0.0170469774978303,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/?kodekelompok=600,1,0,51.45252500369679,51.45252500369679,51.45252500369679,51.45252500369679,257.0,0.00852348874891515,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/?kodekelompok=601,3,0,8,7.612721999369872,5.999095999868587,8.885327995812986,114.0,0.02557046624674545,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=602,2,0,6,7.527967998612439,5.996310996124521,9.059625001100358,150.0,0.0170469774978303,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=603,1,0,309.59605899988674,309.59605899988674,309.59605899988674,309.59605899988674,150.0,0.00852348874891515,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/?kodekelompok=604,1,0,37.99807700124802,37.99807700124802,37.99807700124802,37.99807700124802,42.0,0.00852348874891515,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/?kodekelompok=605,2,0,7.397895002213772,29.312522001418984,7.397895002213772,51.227149000624195,42.0,0.0170469774978303,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/?kodekelompok=607,1,0,8.128743997076526,8.128743997076526,8.128743997076526,8.128743997076526,42.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=608,2,0,9,23.38384199902066,8.50527299917303,38.26241099886829,42.0,0.0170469774978303,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/?kodekelompok=609,1,0,16.833452995342668,16.833452995342668,16.833452995342668,16.833452995342668,42.0,0.00852348874891515,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/?kodekelompok=611,1,0,6.440331999328919,6.440331999328919,6.440331999328919,6.440331999328919,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=612,1,0,12.87998299812898,12.87998299812898,12.87998299812898,12.87998299812898,149.0,0.00852348874891515,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/?kodekelompok=613,2,0,36,50.20540949772112,35.68530999473296,64.72550900070928,42.0,0.0170469774978303,0.0,65,65,65,65,65,65,65,65,65,65,65
